timestamp,thread_label,utilization,frequency
2023-03-25 15:52:53.784448464 +05:30,cpu2,89.21568,3778
2023-03-25 15:52:53.784476378 +05:30,cpu3,90.196075,3799
2023-03-25 15:52:53.784505403 +05:30,cpu4,87.12871,3798
2023-03-25 15:52:53.784532656 +05:30,cpu5,88.34952,3798
2023-03-25 15:52:53.784562034 +05:30,cpu6,90.099014,3790
2023-03-25 15:52:53.784589389 +05:30,cpu7,85.29411,3798
2023-03-25 15:52:54.816348258 +05:30,cpu0,89.52381,3754
2023-03-25 15:52:54.816391717 +05:30,cpu1,84.46602,3754
2023-03-25 15:52:54.816407480 +05:30,cpu2,89.32039,3740
2023-03-25 15:52:54.816422161 +05:30,cpu3,87.37864,3744
2023-03-25 15:52:54.816436314 +05:30,cpu4,84.46602,3744
2023-03-25 15:52:54.816455583 +05:30,cpu5,88.34952,3743
2023-03-25 15:52:54.816473875 +05:30,cpu6,84.46602,3754
2023-03-25 15:52:54.816491975 +05:30,cpu7,85.57692,3744
2023-03-25 15:52:55.844360095 +05:30,cpu0,91.08911,3773
2023-03-25 15:52:55.844500679 +05:30,cpu1,83.33333,3782
2023-03-25 15:52:55.844549034 +05:30,cpu2,89.21568,3796
2023-03-25 15:52:55.844593870 +05:30,cpu3,85.43689,3799
2023-03-25 15:52:55.844649487 +05:30,cpu4,84.46602,3781
2023-03-25 15:52:55.844754371 +05:30,cpu5,88.2353,3796
2023-03-25 15:52:55.844864759 +05:30,cpu6,83.33333,3796
2023-03-25 15:52:55.844963093 +05:30,cpu7,91.08911,3795
2023-03-25 15:52:56.876356743 +05:30,cpu0,86.53847,3822
2023-03-25 15:52:56.876419236 +05:30,cpu1,88.34952,3800
2023-03-25 15:52:56.876446697 +05:30,cpu2,90.29126,3789
2023-03-25 15:52:56.876472817 +05:30,cpu3,87.37864,3823
2023-03-25 15:52:56.876498776 +05:30,cpu4,90.38461,3818
2023-03-25 15:52:56.876524654 +05:30,cpu5,89.42308,3822
2023-03-25 15:52:56.876555655 +05:30,cpu6,89.42308,3816
2023-03-25 15:52:56.876581482 +05:30,cpu7,85.71429,3818
2023-03-25 15:52:57.908373585 +05:30,cpu0,85.29411,3783
2023-03-25 15:52:57.908525087 +05:30,cpu1,83.49515,3699
2023-03-25 15:52:57.908580115 +05:30,cpu2,89.42308,3700
2023-03-25 15:52:57.908623507 +05:30,cpu3,84.7619,3700
2023-03-25 15:52:57.908666066 +05:30,cpu4,81.5534,3699
2023-03-25 15:52:57.908708135 +05:30,cpu5,89.32039,3700
2023-03-25 15:52:57.908750122 +05:30,cpu6,81.5534,3700
2023-03-25 15:52:57.908791484 +05:30,cpu7,82.35294,3699
2023-03-25 15:52:58.940345536 +05:30,cpu0,92.15686,3669
2023-03-25 15:52:58.940396657 +05:30,cpu1,84.61539,3868
2023-03-25 15:52:58.940423548 +05:30,cpu2,89.42308,3880
2023-03-25 15:52:58.940450018 +05:30,cpu3,86.40777,3868
2023-03-25 15:52:58.940476440 +05:30,cpu4,85.43689,3708
2023-03-25 15:52:58.940502314 +05:30,cpu5,87.37864,3881
2023-03-25 15:52:58.940528178 +05:30,cpu6,87.37864,3880
2023-03-25 15:52:58.940553981 +05:30,cpu7,89.42308,3915
2023-03-25 15:52:59.968353979 +05:30,cpu0,84.46602,3732
2023-03-25 15:52:59.968444714 +05:30,cpu1,86.27451,3722
2023-03-25 15:52:59.968489413 +05:30,cpu2,90.196075,3722
2023-03-25 15:52:59.968531876 +05:30,cpu3,88.34952,3700
2023-03-25 15:52:59.968574021 +05:30,cpu4,86.27451,3722
2023-03-25 15:52:59.968615853 +05:30,cpu5,91.26214,3700
2023-03-25 15:52:59.968660545 +05:30,cpu6,85.43689,3722
2023-03-25 15:52:59.968702094 +05:30,cpu7,84.46602,3722
2023-03-25 15:53:00.996366779 +05:30,cpu0,89.21568,3543
2023-03-25 15:53:00.996425448 +05:30,cpu1,88.46153,3550
2023-03-25 15:53:00.996455288 +05:30,cpu2,90.29126,3545
2023-03-25 15:53:00.996823580 +05:30,cpu3,81.730774,3550
2023-03-25 15:53:00.996951477 +05:30,cpu4,83.65385,3550
